text,summary,subject,topic,cleaned_text,cleaned_summary
Rome was a powerful empire in ancient times.,Summary of Ancient Rome (Easy).,History,Ancient Rome,rome was a powerful empire in ancient times,summary of ancient rome easy
"The Roman Empire was the post-Republican period of ancient Rome. As a polity it included large territorial holdings around the Mediterranean Sea in Europe, North Africa, and Western Asia ruled by emperors. From the accession of Caesar Augustus to the military anarchy of the 3rd century, it was a principate with Italy as the metropole of the provinces and the city of Rome as the sole capital. This concept is fundamental to understanding the broader implications of the field. It requires a deep analysis of key factors, including historical context, theoretical frameworks, and practical applications. Experts have debated this for decades, leading to various interpretations and complex models that attempt to explain the phenomenon in detail.",Summary of Ancient Rome (Medium).,History,Ancient Rome,the roman empire was the postrepublican period of ancient rome as a polity it included large territorial holdings around the mediterranean sea in europe north africa and western asia ruled by emperors from the accession of caesar augustus to the military anarchy of the 3rd century it was a principate with italy as the metropole of the provinces and the city of rome as the sole capital this concept is fundamental to understanding the broader implications of the field it requires a deep analysis of key factors including historical context theoretical frameworks and practical applications experts have debated this for decades leading to various interpretations and complex models that attempt to explain the phenomenon in detail,summary of ancient rome medium
Prices go up when demand is high and supply is low.,Summary of Supply & Demand (Easy).,Economics,Supply & Demand,prices go up when demand is high and supply is low,summary of supply  demand easy
"In microeconomics, supply and demand is an economic model of price determination in a market. It postulates that, holding all else equal, in a competitive market, the unit price for a particular good, or other traded item such as labor or liquid financial assets, will vary until it settles at a point where the quantity demanded (at the current price) will equal the quantity supplied (at the current price), resulting in an economic equilibrium for price and quantity transacted. This concept is fundamental to understanding the broader implications of the field. It requires a deep analysis of key factors, including historical context, theoretical frameworks, and practical applications. Experts have debated this for decades, leading to various interpretations and complex models that attempt to explain the phenomenon in detail.",Summary of Supply & Demand (Medium).,Economics,Supply & Demand,in microeconomics supply and demand is an economic model of price determination in a market it postulates that holding all else equal in a competitive market the unit price for a particular good or other traded item such as labor or liquid financial assets will vary until it settles at a point where the quantity demanded at the current price will equal the quantity supplied at the current price resulting in an economic equilibrium for price and quantity transacted this concept is fundamental to understanding the broader implications of the field it requires a deep analysis of key factors including historical context theoretical frameworks and practical applications experts have debated this for decades leading to various interpretations and complex models that attempt to explain the phenomenon in detail,summary of supply  demand medium
Inflation means things get more expensive over time.,Summary of Inflation (Easy).,Economics,Inflation,inflation means things get more expensive over time,summary of inflation easy
"Inflation is a quantitative measure of the rate at which the average price level of a basket of selected goods and services in an economy increases over some period of time. It is the rise in the general level of prices where a unit of currency generally buys fewer goods and services. Consequently, inflation reflects a reduction in the purchasing power per unit of money â a loss of real value in the medium of exchange and unit of account within the economy. This concept is fundamental to understanding the broader implications of the field. It requires a deep analysis of key factors, including historical context, theoretical frameworks, and practical applications. Experts have debated this for decades, leading to various interpretations and complex models that attempt to explain the phenomenon in detail.",Summary of Inflation (Medium).,Economics,Inflation,inflation is a quantitative measure of the rate at which the average price level of a basket of selected goods and services in an economy increases over some period of time it is the rise in the general level of prices where a unit of currency generally buys fewer goods and services consequently inflation reflects a reduction in the purchasing power per unit of money  a loss of real value in the medium of exchange and unit of account within the economy this concept is fundamental to understanding the broader implications of the field it requires a deep analysis of key factors including historical context theoretical frameworks and practical applications experts have debated this for decades leading to various interpretations and complex models that attempt to explain the phenomenon in detail,summary of inflation medium
Cognitive dissonance is feeling bad about conflicting beliefs.,Summary of Cognitive Dissonance (Easy).,Psychology,Cognitive Dissonance,cognitive dissonance is feeling bad about conflicting beliefs,summary of cognitive dissonance easy
"In the field of psychology, cognitive dissonance occurs when a person holds contradictory beliefs, ideas, or values, and is typically experienced as psychological stress when they participate in an action that goes against one or more of them. According to this theory, when two actions or ideas are not psychologically consistent with each other, people do all in their power to change them until they become consistent. This concept is fundamental to understanding the broader implications of the field. It requires a deep analysis of key factors, including historical context, theoretical frameworks, and practical applications. Experts have debated this for decades, leading to various interpretations and complex models that attempt to explain the phenomenon in detail.",Summary of Cognitive Dissonance (Medium).,Psychology,Cognitive Dissonance,in the field of psychology cognitive dissonance occurs when a person holds contradictory beliefs ideas or values and is typically experienced as psychological stress when they participate in an action that goes against one or more of them according to this theory when two actions or ideas are not psychologically consistent with each other people do all in their power to change them until they become consistent this concept is fundamental to understanding the broader implications of the field it requires a deep analysis of key factors including historical context theoretical frameworks and practical applications experts have debated this for decades leading to various interpretations and complex models that attempt to explain the phenomenon in detail,summary of cognitive dissonance medium
Behaviorism studies observable actions.,Summary of Behaviorism (Easy).,Psychology,Behaviorism,behaviorism studies observable actions,summary of behaviorism easy
"Behaviorism (or behaviourism) is a systematic approach to understanding the behavior of humans and other animals. It assumes that behavior is either a reflex evoked by the pairing of certain antecedent stimuli in the environment, or a consequence of that individual's history, including especially reinforcement and punishment contingencies, together with the individual's current motivational state and controlling stimuli. This concept is fundamental to understanding the broader implications of the field. It requires a deep analysis of key factors, including historical context, theoretical frameworks, and practical applications. Experts have debated this for decades, leading to various interpretations and complex models that attempt to explain the phenomenon in detail.",Summary of Behaviorism (Medium).,Psychology,Behaviorism,behaviorism or behaviourism is a systematic approach to understanding the behavior of humans and other animals it assumes that behavior is either a reflex evoked by the pairing of certain antecedent stimuli in the environment or a consequence of that individuals history including especially reinforcement and punishment contingencies together with the individuals current motivational state and controlling stimuli this concept is fundamental to understanding the broader implications of the field it requires a deep analysis of key factors including historical context theoretical frameworks and practical applications experts have debated this for decades leading to various interpretations and complex models that attempt to explain the phenomenon in detail,summary of behaviorism medium
The Renaissance was a time of great art in Europe.,Summary of Renaissance (Easy).,Art,Renaissance,the renaissance was a time of great art in europe,summary of renaissance easy
"The Renaissance is a period in European history marking the transition from the Middle Ages to modernity and covering the 15th and 16th centuries. It occurred after the Crisis of the Late Middle Ages and was associated with great social change. In addition to the standard periodization, proponents of a long Renaissance put its beginning in the 14th century and its end in the 17th century. This concept is fundamental to understanding the broader implications of the field. It requires a deep analysis of key factors, including historical context, theoretical frameworks, and practical applications. Experts have debated this for decades, leading to various interpretations and complex models that attempt to explain the phenomenon in detail.",Summary of Renaissance (Medium).,Art,Renaissance,the renaissance is a period in european history marking the transition from the middle ages to modernity and covering the 15th and 16th centuries it occurred after the crisis of the late middle ages and was associated with great social change in addition to the standard periodization proponents of a long renaissance put its beginning in the 14th century and its end in the 17th century this concept is fundamental to understanding the broader implications of the field it requires a deep analysis of key factors including historical context theoretical frameworks and practical applications experts have debated this for decades leading to various interpretations and complex models that attempt to explain the phenomenon in detail,summary of renaissance medium
Impressionism used small brush strokes to show light.,Summary of Impressionism (Easy).,Art,Impressionism,impressionism used small brush strokes to show light,summary of impressionism easy
"Impressionism was a 19th-century art movement characterized by relatively small, thin, yet visible brush strokes, open composition, emphasis on accurate depiction of light in its changing qualities (often accentuating the effects of the passage of time), ordinary subject matter, inclusion of movement as a crucial element of human perception and experience, and unusual visual angles. This concept is fundamental to understanding the broader implications of the field. It requires a deep analysis of key factors, including historical context, theoretical frameworks, and practical applications. Experts have debated this for decades, leading to various interpretations and complex models that attempt to explain the phenomenon in detail.",Summary of Impressionism (Medium).,Art,Impressionism,impressionism was a 19thcentury art movement characterized by relatively small thin yet visible brush strokes open composition emphasis on accurate depiction of light in its changing qualities often accentuating the effects of the passage of time ordinary subject matter inclusion of movement as a crucial element of human perception and experience and unusual visual angles this concept is fundamental to understanding the broader implications of the field it requires a deep analysis of key factors including historical context theoretical frameworks and practical applications experts have debated this for decades leading to various interpretations and complex models that attempt to explain the phenomenon in detail,summary of impressionism medium
"The periodic table is a tabular display of the chemical elements, which are arranged by atomic number, electron configuration, and recurring chemical properties.",Summary of Chemistry (Easy).,Science,Chemistry,the periodic table is a tabular display of the chemical elements arranged by atomic number,summary of chemistry easy
Covalent bonding is a chemical bond that involves the sharing of electron pairs between atoms.,Summary of Chemistry (Medium).,Science,Chemistry,covalent bonding is a chemical bond that involves the sharing of electron pairs between atoms,summary of chemistry medium
"In quantum mechanics, the uncertainty principle asserts a fundamental limit to the precision with which certain pairs of physical properties of a particle, known as complementary variables, can be known.",Summary of Physics (Hard).,Science,Physics,in quantum mechanics the uncertainty principle asserts a fundamental limit to the precision with which certain pairs of physical properties can be known,summary of physics hard
The French Revolution was a period of far-reaching social and political upheaval in France and its colonies beginning in 1789.,Summary of History (Easy).,History,French Revolution,the french revolution was a period of farreaching social and political upheaval in france beginning in 1789,summary of history easy
"The Cold War was a period of geopolitical tension between the Soviet Union and the United States and their respective allies, the Eastern Bloc and the Western Bloc, after World War II.",Summary of History (Medium).,History,Cold War,the cold war was a period of geopolitical tension between the soviet union and the united states after world war ii,summary of history medium
"Python is an interpreted, high-level and general-purpose programming language. Its design philosophy emphasizes code readability with the use of significant indentation.",Summary of CS (Easy).,Computer Science,Python,python is an interpreted highlevel and generalpurpose programming language emphasizing code readability,summary of cs easy
"Object-oriented programming (OOP) is a programming paradigm based on the concept of objects, which can contain data and code: data in the form of fields, and code in the form of procedures.",Summary of CS (Medium).,Computer Science,OOP,objectoriented programming oop is a programming paradigm based on the concept of objects containing data and code,summary of cs medium
Artificial Intelligence (AI) refers to the simulation of human intelligence in machines that are programmed to think like humans and mimic their actions.,Summary of AI (Easy).,Computer Science,Artificial Intelligence,artificial intelligence ai refers to the simulation of human intelligence in machines,summary of ai easy
Machine learning is a subset of artificial intelligence that involves training algorithms to learn from and make predictions based on data.,Summary of AI (Medium).,Computer Science,Machine Learning,machine learning is a subset of ai that involves training algorithms to learn from data,summary of ai medium
Deep learning is a subset of machine learning based on artificial neural networks with representation learning.,Summary of AI (Hard).,Computer Science,Deep Learning,deep learning is a subset of machine learning based on artificial neural networks,summary of ai hard
"Calculus is the mathematical study of continuous change, in the same way that geometry is the study of shape and algebra is the study of generalizations of arithmetic operations.",Summary of Math (Easy).,Math,Calculus,calculus is the mathematical study of continuous change,summary of math easy
A derivative helps us know the changing rate of a quantity (function) with respect to another variable.,Summary of Math (Medium).,Math,Calculus,a derivative helps us know the changing rate of a function with respect to another variable,summary of math medium
"William Shakespeare was an English playwright, poet, and actor, widely regarded as the greatest writer in the English language and the world's greatest dramatist.",Summary of Lit (Easy).,Literature,Shakespeare,william shakespeare was an english playwright poet and actor regarded as the greatest writer in the english language,summary of lit easy
"Beowulf is an Old English epic poem consisting of 3,182 alliterative lines. It is one of the most important works of Old English literature.",Summary of Lit (Medium).,Literature,Old English,beowulf is an old english epic poem consisting of 3182 alliterative lines important work of old english literature,summary of lit medium
Plate tectonics is a scientific theory describing the large-scale motion of seven large plates and the movements of a larger number of smaller plates of the Earth's lithosphere.,Summary of Geo (Medium).,Science,Geology,plate tectonics is a scientific theory describing the largescale motion of earth's lithosphere plates,summary of geo medium
The Big Bang theory is the prevailing cosmological model for the observable universe from the earliest known periods through its subsequent large-scale evolution.,Summary of Science (Hard).,Science,Astronomy,the big bang theory is the prevailing cosmological model for the observable universe,summary of science hard
Supply chain management is the management of the flow of goods and services and includes all processes that transform raw materials into final products.,Summary of Econ (Medium).,Economics,Supply Chain,supply chain management is the management of the flow of goods and services transforming raw materials to products,summary of econ medium
Photosynthesis is the process used by plants to convert light energy into chemical energy.,Summary of Biology.,Science,Biology,photosynthesis is the process used by plants to convert light energy into chemical energy,summary of biology
Newton's three laws of motion describe the relationship between a body and the forces acting upon it.,Summary of Physics.,Science,Physics,newtons three laws of motion describe the relationship between a body and the forces acting upon it,summary of physics
The periodic table organizes chemical elements based on their atomic number.,Summary of Chemistry.,Science,Chemistry,the periodic table organizes chemical elements based on their atomic number,summary of chemistry
Calculus is the mathematical study of continuous change.,Summary of Calculus.,Math,Calculus,calculus is the mathematical study of continuous change,summary of calculus
Statistics is the discipline that concerns the collection organization analysis interpretation and presentation of data.,Summary of Statistics.,Math,Statistics,statistics is the discipline that concerns the collection organization analysis interpretation and presentation of data,summary of statistics
The Pythagorean theorem states that in a right-angled triangle the square of the hypotenuse side is equal to the sum of squares of the other two sides.,Summary of Geometry.,Math,Geometry,the pythagorean theorem states that in a rightangled triangle the square of the hypotenuse side is equal to the sum of squares of the other two sides,summary of geometry
The Industrial Revolution was a period of scientific and technological development that transformed rural societies into industrialized urban ones.,Summary of Industrial Revolution.,History,Industrial Revolution,the industrial revolution was a period of scientific and technological development that transformed rural societies into industrialized urban ones,summary of industrial revolution
The Cold War was a period of geopolitical tension between the United States and the Soviet Union.,Summary of Cold War.,History,Cold War,the cold war was a period of geopolitical tension between the united states and the soviet union,summary of cold war
The French Revolution led to the end of the monarchy in France and the rise of Napoleon.,Summary of French Revolution.,History,French Revolution,the french revolution led to the end of the monarchy in france and the rise of napoleon,summary of french revolution
Microeconomics analyzes the market behavior of individual consumers and firms.,Summary of Microeconomics.,Economics,Microeconomics,microeconomics analyzes the market behavior of individual consumers and firms,summary of microeconomics
Macroeconomics deals with the performance structure behavior and decision-making of an economy as a whole.,Summary of Macroeconomics.,Economics,Macroeconomics,macroeconomics deals with the performance structure behavior and decisionmaking of an economy as a whole,summary of macroeconomics
Game theory is the study of mathematical models of strategic interaction among rational decision-makers.,Summary of Game Theory.,Economics,Game Theory,game theory is the study of mathematical models of strategic interaction among rational decisionmakers,summary of game theory
Classical conditioning is a learning process that occurs through associations between an environmental stimulus and a naturally occurring stimulus.,Summary of Classical Conditioning.,Psychology,Classical Conditioning,classical conditioning is a learning process that occurs through associations between an environmental stimulus and a naturally occurring stimulus,summary of classical conditioning
Operant conditioning is a method of learning that employs rewards and punishments for behavior.,Summary of Operant Conditioning.,Psychology,Operant Conditioning,operant conditioning is a method of learning that employs rewards and punishments for behavior,summary of operant conditioning
Psychoanalysis is a set of theories and therapeutic techniques related to the study of the unconscious mind.,Summary of Psychoanalysis.,Psychology,Psychoanalysis,psychoanalysis is a set of theories and therapeutic techniques related to the study of the unconscious mind,summary of psychoanalysis
Surrealism was a cultural movement that developed in Europe in the aftermath of World War I.,Summary of Surrealism.,Art,Surrealism,surrealism was a cultural movement that developed in europe in the aftermath of world war i,summary of surrealism
Pop art is an art movement that emerged in the United Kingdom and the United States during the mid-to-late 1950s.,Summary of Pop Art.,Art,Pop Art,pop art is an art movement that emerged in the united kingdom and the united states during the midtolate 1950s,summary of pop art
Cubism is an early-20th-century avant-garde art movement that revolutionized European painting and sculpture.,Summary of Cubism.,Art,Cubism,cubism is an early20thcentury avantgarde art movement that revolutionized european painting and sculpture,summary of cubism
Algorithms are a sequence of instructions used to solve a problem or perform a computation.,Summary of Algorithms.,Computer Science,Algorithms,algorithms are a sequence of instructions used to solve a problem or perform a computation,summary of algorithms
Data structures are a way of organizing and storing data so that they can be accessed and worked with efficiently.,Summary of Data Structures.,Computer Science,Data Structures,data structures are a way of organizing and storing data so that they can be accessed and worked with efficiently,summary of data structures
Artificial intelligence is the simulation of human intelligence processes by machines namely computer systems.,Summary of AI.,Computer Science,AI,artificial intelligence is the simulation of human intelligence processes by machines namely computer systems,summary of ai
Shakespeare's plays are considered some of the greatest works in the English language.,Summary of Shakespeare.,Literature,Shakespeare,shakespeares plays are considered some of the greatest works in the english language,summary of shakespeare
Modernism in literature is characterized by a self-conscious break with traditional ways of writing.,Summary of Modernism.,Literature,Modernism,modernism in literature is characterized by a selfconscious break with traditional ways of writing,summary of modernism
The novel is a long narrative work of fiction usually written in prose.,Summary of Novel.,Literature,Novel,the novel is a long narrative work of fiction usually written in prose,summary of novel
DNA replcation is the process by which a double-stranded DNA molecule is copied to produce two identical DNA molecules.,Summary of Genetics.,Science,Genetics,dna replication is the process by which a doublestranded dna molecule is copied to produce two identical dna molecules,summary of genetics
The Big Bang theory is the prevailing cosmological model for the observable universe from the earliest known periods through its subsequent large-scale evolution.,Summary of Cosmology.,Science,Physics,the big bang theory is the prevailing cosmological model for the observable universe from the earliest known periods through its subsequent large scale evolution,summary of cosmology
Ecology is the branch of biology which studies the interactions among organisms and their environment.,Summary of Ecology.,Science,Biology,ecology is the branch of biology which studies the interactions among organisms and their environment,summary of ecology
Plate tectonics is a scientific theory describing the large-scale motion of seven large plates and the movements of a larger number of smaller plates of Earth's lithosphere.,Summary of Geology.,Science,Geology,plate tectonics is a scientific theory describing the largescale motion of seven large plates and the movements of a larger number of smaller plates of earths lithosphere,summary of geology
Thermodynamics is a branch of physics that deals with heat work and temperature and their relation to energy entropy and the physical properties of matter.,Summary of Thermodynamics.,Science,Physics,thermodynamics is a branch of physics that deals with heat work and temperature and their relation to energy entropy and the physical properties of matter,summary of thermodynamics
Organic chemistry is a subdiscipline within chemistry involving the scientific study of the structure properties and reactions of organic compounds and organic materials.,Summary of Organic Chemistry.,Science,Chemistry,organic chemistry is a subdiscipline within chemistry involving the scientific study of the structure properties and reactions of organic compounds and organic materials,summary of organic chemistry
Evolution is change in the heritable characteristics of biological populations over successive generations.,Summary of Evolution.,Science,Biology,evolution is change in the heritable characteristics of biological populations over successive generations,summary of evolution
Quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles.,Summary of Quantum Mechanics.,Science,Physics,quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the scale of atoms and subatomic particles,summary of quantum mechanics
Linear algebra is the branch of mathematics concerning linear equations such as linear maps and their representations in vector spaces and through matrices.,Summary of Linear Algebra.,Math,Linear Algebra,linear algebra is the branch of mathematics concerning linear equations such as linear maps and their representations in vector spaces and through matrices,summary of linear algebra
Calculus II usually covers integration techniques sequences and series.,Summary of Calculus II.,Math,Calculus,calculus ii usually covers integration techniques sequences and series,summary of calculus ii
Probability theory is the branch of mathematics concerned with probability.,Summary of Probability.,Math,Probability,probability theory is the branch of mathematics concerned with probability,summary of probability
Number theory is a branch of pure mathematics devoted primarily to the study of the integers and integer-valued functions.,Summary of Number Theory.,Math,Number Theory,number theory is a branch of pure mathematics devoted primarily to the study of the integers and integervalued functions,summary of number theory
Topology is concerned with the properties of a geometric object that are preserved under continuous deformations such as stretching twisting crumpling and bending.,Summary of Topology.,Math,Topology,topology is concerned with the properties of a geometric object that are preserved under continuous deformations such as stretching twisting crumpling and bending,summary of topology
Differential equations involve equations that relate one or more functions and their derivatives.,Summary of Differential Equations.,Math,Differential Equations,differential equations involve equations that relate one or more functions and their derivatives,summary of differential equations
Combinatorics is an area of mathematics primarily concerned with counting both as a means and an end in obtaining results.,Summary of Combinatorics.,Math,Combinatorics,combinatorics is an area of mathematics primarily concerned with counting both as a means and an end in obtaining results,summary of combinatorics
Graph theory is the study of graphs which are mathematical structures used to model pairwise relations between objects.,Summary of Graph Theory.,Math,Graph Theory,graph theory is the study of graphs which are mathematical structures used to model pairwise relations between objects,summary of graph theory
Logic is the systematic study of the form of valid inference and the most general laws of truth.,Summary of Logic.,Math,Logic,logic is the systematic study of the form of valid inference and the most general laws of truth,summary of logic
Set theory is the branch of mathematical logic that studies sets which can be informally described as collections of objects.,Summary of Set Theory.,Math,Set Theory,set theory is the branch of mathematical logic that studies sets which can be informally described as collections of objects,summary of set theory
The American Civil War was a civil war in the United States from 1861 to 1865.,Summary of American Civil War.,History,American Civil War,the american civil war was a civil war in the united states from 1861 to 1865,summary of american civil war
The Great Depression was a severe worldwide economic depression that took place feverishly during the 1930s.,Summary of Great Depression.,History,Great Depression,the great depression was a severe worldwide economic depression that took place feverishly during the 1930s,summary of great depression
Feudalism was the dominant social system in medieval Europe.,Summary of Feudalism.,History,Feudalism,feudalism was the dominant social system in medieval europe,summary of feudalism
The Enlightenment was an intellectual and philosophical movement that dominated the world of ideas in Europe during the 17th and 18th centuries.,Summary of Enlightenment.,History,Enlightenment,the enlightenment was an intellectual and philosophical movement that dominated the world of ideas in europe during the 17th and 18th centuries,summary of enlightenment
The fall of the Western Roman Empire was the process of decline in the Western Roman Empire in which the Empire failed to enforce its rule.,Summary of Fall of Rome.,History,Fall of Rome,the fall of the western roman empire was the process of decline in the western roman empire in which the empire failed to enforce its rule,summary of fall of rome
The Mongol Empire existed during the 13th and 14th centuries and was the largest contiguous land empire in history.,Summary of Mongol Empire.,History,Mongol Empire,the mongol empire existed during the 13th and 14th centuries and was the largest contiguous land empire in history,summary of mongol empire
The Victorian era was the period of Queen Victoria's reign from 20 June 1837 until her death on 22 January 1901.,Summary of Victorian Era.,History,Victorian Era,the victorian era was the period of queen victorias reign from 20 june 1837 until her death on 22 january 1901,summary of victorian era
The Space Race was a 20th-century competition between two Cold War rivals the Soviet Union and the United States to achieve firsts in spaceflight capability.,Summary of Space Race.,History,Space Race,the space race was a 20thcentury competition between two cold war rivals the soviet union and the united states to achieve firsts in spaceflight capability,summary of space race
Apartheid was a system of institutionalised racial segregation that existed in South Africa and South West Africa from 1948 until the early 1990s.,Summary of Apartheid.,History,Apartheid,apartheid was a system of institutionalised racial segregation that existed in south africa and south west africa from 1948 until the early 1990s,summary of apartheid
The Scientific Revolution was a series of events that marked the emergence of modern science during the early modern period.,Summary of Scientific Revolution.,History,Scientific Revolution,the scientific revolution was a series of events that marked the emergence of modern science during the early modern period,summary of scientific revolution
Keynesian economics consists of various macroeconomic theories about how in the short run and especially during recessions economic output is strongly influenced by aggregate demand.,Summary of Keynesian Economics.,Economics,Keynesian Economics,keynesian economics consists of various macroeconomic theories about how in the short run and especially during recessions economic output is strongly influenced by aggregate demand,summary of keynesian economics
Monopolistic competition is a type of imperfect competition such that there are many producers competing against each other but selling products that are differentiated from one another.,Summary of Monopolistic Competition.,Economics,Monopolistic Competition,monopolistic competition is a type of imperfect competition such that there are many producers competing against each other but selling products that are differentiated from one another,summary of monopolistic competition
Oligopoly is a market form wherein a market or industry is dominated by a small group of large sellers.,Summary of Oligopoly.,Economics,Oligopoly,oligopoly is a market form wherein a market or industry is dominated by a small group of large sellers,summary of oligopoly
Gross Domestic Product (GDP) is a monetary measure of the market value of all the final goods and services produced in a specific time period.,Summary of GDP.,Economics,GDP,gross domestic product gdp is a monetary measure of the market value of all the final goods and services produced in a specific time period,summary of gdp
Fiscal policy is the use of government revenue collection and expenditure to influence a country's economy.,Summary of Fiscal Policy.,Economics,Fiscal Policy,fiscal policy is the use of government revenue collection and expenditure to influence a countrys economy,summary of fiscal policy
Monetary policy is the policy adopted by the monetary authority of a country that controls the interest rate payable on very short-term borrowing or the money supply.,Summary of Monetary Policy.,Economics,Monetary Policy,monetary policy is the policy adopted by the monetary authority of a country that controls the interest rate payable on very shortterm borrowing or the money supply,summary of monetary policy
International trade is the exchange of capital goods and services across international borders or territories.,Summary of International Trade.,Economics,International Trade,international trade is the exchange of capital goods and services across international borders or territories,summary of international trade
Behavioral economics studies the effects of psychological cognitive emotional cultural and social factors on the decisions of individuals and institutions.,Summary of Behavioral Economics.,Economics,Behavioral Economics,behavioral economics studies the effects of psychological cognitive emotional cultural and social factors on the decisions of individuals and institutions,summary of behavioral economics
Development economics is a branch of economics which deals with economic aspects of the development process in low-income countries.,Summary of Development Economics.,Economics,Development Economics,development economics is a branch of economics which deals with economic aspects of the development process in lowincome countries,summary of development economics
Labor economics seeks to understand the functioning and dynamics of the markets for wage labor.,Summary of Labor Economics.,Economics,Labor Economics,labor economics seeks to understand the functioning and dynamics of the markets for wage labor,summary of labor economics
Social psychology is the scientific study of how the thoughts feelings and behaviors of individuals are influenced by the actual imagined or implied presence of others.,Summary of Social Psychology.,Psychology,Social Psychology,social psychology is the scientific study of how the thoughts feelings and behaviors of individuals are influenced by the actual imagined or implied presence of others,summary of social psychology
